,sexual_attraction_F,sexual_attraction_M,age,gender_identity_F,education_level,gender_identity_M,religious_importance,sex,handedness,religious_now,religious_upbringing,BMI,background_SES,RIG
475,5.398549376490275,5.15754127698648,3.0897966703506454,4.53605290024021,1.079903865592214,7.857980995127572,5.15754127698648,1.060319469273812,0.1679830237081267,2.235929175671196,0.6005931524349205,5.15754127698648,2.5092528408964947,44.008985300744904
347,5.398549376490275,5.15754127698648,2.2655239578594917,4.53605290024021,1.079903865592214,5.770518153877233,4.68805599368526,1.060319469273812,3.1855556531560767,2.235929175671196,1.5542002469504692,3.2881253867966245,2.5092528408964947,42.72952829747584
226,1.903784684740697,1.9510903995190534,3.648527629498622,4.53605290024021,3.3822475641611742,5.770518153877233,4.103093492964104,1.060319469273812,3.1855556531560767,2.235929175671196,1.5542002469504692,4.68805599368526,4.572578776265324,42.59195414000323
338,5.398549376490275,8.273018494406417,2.9876162755441675,7.857980995127572,1.079903865592214,6.857980995127572,0.0,0.942101616291799,0.1679830237081267,0.34425339917513476,0.6005931524349205,4.465663572348812,3.130060540564373,42.10570530681138
600,2.3581351080443667,2.2141248053528475,3.648527629498622,4.0,3.3822475641611742,4.8135868757691185,4.68805599368526,0.942101616291799,3.1855556531560767,2.235929175671196,0.6005931524349205,6.857980995127572,3.130060540564373,42.056899109757325
602,5.951090399519053,5.15754127698648,2.9876162755441675,4.0,3.3822475641611742,4.8135868757691185,4.303392143449935,0.942101616291799,0.1679830237081267,2.235929175671196,0.6005931524349205,3.1030934929641036,3.2286243750479624,40.873799371548046
616,5.951090399519053,6.398549376490275,2.9876162755441675,4.0,1.2141248053528475,4.8135868757691185,4.68805599368526,0.942101616291799,0.1679830237081267,2.235929175671196,1.5542002469504692,3.0766212816029124,2.5092528408964947,40.539111911481726
55,1.903784684740697,5.15754127698648,3.0766212816029124,7.53605290024021,1.2141248053528475,5.770518153877233,4.103093492964104,1.060319469273812,0.1679830237081267,2.235929175671196,0.6005931524349205,3.1997695123757772,3.1437354774614494,39.17006640668977
400,1.903784684740697,1.9510903995190534,2.221356374583923,7.53605290024021,3.3822475641611742,6.857980995127572,4.103093492964104,0.942101616291799,0.1679830237081267,2.235929175671196,0.6005931524349205,4.366127898797897,2.8026985596263825,39.07103983786706
566,7.53605290024021,6.398549376490275,2.221356374583923,4.53605290024021,1.2141248053528475,6.857980995127572,0.0,1.060319469273812,0.1679830237081267,0.34425339917513476,0.6005931524349205,5.465663572348812,2.5092528408964947,38.91218280987234
