original_index,msu,suda,fK,fM,AgeCog_W1,Height_W1,HandednessScore,EduYrsEstCap,EduComp,Ethnicity,Race,Sex,dis-suda
214,2.0,2316,1.0,82,65,67.0,4.0,14.0,3.0,0.0,5,f,0.000898680601639433
215,2.0,2508,1.0,91,67,70.0,3.182,16.0,4.0,0.0,5,m,0.0009731826204281943
216,2.0,11636,1.0,183,89,63.0,3.636,11.0,1.0,0.0,5,f,0.00451513276367722
217,2.0,7178,1.0,155,73,72.0,3.818,15.0,3.0,0.0,5,m,0.0027852890149256695
218,2.0,3580,1.0,88,77,62.0,3.727,14.0,3.0,0.0,5,f,0.0013891522253321115
219,2.0,6108,1.0,112,58,64.0,4.0,16.0,4.0,0.0,5,f,0.0023700954727174685
220,2.0,6194,1.0,151,59,73.0,4.0,14.0,3.0,0.0,2,m,0.002403466168633268
221,2.0,4052,1.0,111,58,65.0,3.455,14.0,3.0,0.0,5,f,0.0015723030215211496
222,3.0,1264,1.0,72,70,63.0,4.0,14.0,3.0,0.0,5,f,0.0004904716236926785
223,2.0,2422,1.0,80,67,72.0,3.909,16.0,4.0,0.0,5,m,0.000939811924512395
224,2.0,5672,1.0,139,54,64.0,4.0,12.0,2.0,0.0,2,f,0.002200913805051323
225,2.0,5210,1.0,119,75,64.0,3.727,15.0,3.0,0.0,5,f,0.0020216433223408663
226,2.0,5210,1.0,119,70,66.0,3.727,15.0,3.0,0.0,5,f,0.0020216433223408663
227,2.0,6580,1.0,135,77,61.0,4.0,14.5,3.0,0.0,5,f,0.0025532462689065068
228,2.0,6966,1.0,147,56,64.0,2.545,12.0,2.0,0.0,5,f,0.0027030263691797452
229,1.0,16148,1.0,178,71,73.5,3.545,14.0,3.0,1.0,5,m,0.006265930205213111
230,2.0,8192,1.0,133,51,72.0,2.455,16.0,4.0,0.0,5,m,0.003178752801653815
231,2.0,4110,1.0,102,84,62.0,4.0,14.0,3.0,0.0,5,f,0.0015948088396969212
232,2.0,5634,1.0,135,60,70.0,4.0,13.0,3.0,0.0,5,m,0.002186168613832714
233,2.0,4052,1.0,111,81,70.0,3.455,16.0,4.0,0.0,5,m,0.0015723030215211496
234,2.0,7284,1.0,153,80,65.0,3.727,12.0,2.0,0.0,5,f,0.002826420337798631
235,2.0,3580,1.0,88,40,67.0,3.273,16.0,4.0,0.0,5,f,0.0013891522253321115
236,3.0,1736,1.0,95,70,69.0,3.818,15.0,3.0,0.0,5,f,0.0006736224198817167
237,2.0,2278,1.0,78,61,63.0,4.0,14.0,3.0,0.0,5,f,0.000883935410420824
238,2.0,3840,1.0,103,41,71.0,3.727,16.0,4.0,0.0,5,f,0.0014900403757752258
239,1.0,14338,1.0,147,71,63.5,3.909,16.0,4.0,0.0,5,f,0.0055635934655898925
240,2.0,9108,1.0,159,73,62.0,4.0,11.0,1.0,0.0,5,f,0.0035341895162918635
241,3.0,1736,1.0,95,72,68.0,4.0,13.0,3.0,0.0,5,m,0.0006736224198817167
242,2.0,5210,1.0,119,65,63.0,3.727,15.0,3.0,0.0,5,f,0.0020216433223408663
243,2.0,2750,1.0,101,65,69.0,3.636,14.0,3.0,0.0,5,m,0.001067086206609862
244,2.0,2808,1.0,92,65,69.0,4.0,16.0,4.0,0.0,5,m,0.0010895920247856337
245,2.0,2740,1.0,86,62,63.0,3.909,16.0,4.0,0.0,5,f,0.001063205893131281
246,2.0,2538,1.0,93,56,63.0,3.455,14.0,3.0,0.0,5,f,0.0009848235608639383
247,2.0,7950,1.0,151,69,70.5,3.545,16.0,4.0,0.0,5,m,0.0030848492154721473
248,2.0,5672,1.0,139,69,75.0,3.727,16.0,5.0,0.0,5,m,0.002200913805051323
249,2.0,5268,1.0,110,53,66.0,4.0,12.0,3.0,0.0,2,f,0.0020441491405166377
250,3.0,1264,1.0,72,67,72.0,4.0,14.0,3.0,0.0,5,m,0.0004904716236926785
251,2.0,3966,1.0,100,52,67.0,4.0,16.0,4.0,0.0,5,f,0.0015389323256053504
252,2.0,4950,1.0,104,76,68.0,4.0,12.0,2.0,0.0,5,f,0.001920755171897752
253,3.0,1052,1.0,64,69,62.0,3.727,14.0,3.0,0.0,5,f,0.0004082089779467546
254,2.0,9320,1.0,183,55,72.0,-999.0,13.0,3.0,0.0,2,m,0.0036164521620377873
255,2.0,5914,1.0,137,76,65.5,3.818,18.0,6.0,0.0,5,f,0.002294817391232991
256,2.0,3310,1.0,117,54,67.0,4.0,15.0,3.0,0.0,2,f,0.0012843837614104159
257,2.0,7526,1.0,163,65,70.0,3.0,14.0,3.0,0.0,2,m,0.0029203239239802992
258,2.0,5210,1.0,119,60,65.0,3.364,15.0,3.0,0.0,5,f,0.0020216433223408663
259,3.0,1910,1.0,99,63,72.0,3.727,16.0,4.0,0.0,5,m,0.0007411398744090315
260,2.0,1998,1.0,64,51,69.0,4.0,16.0,4.0,0.0,5,m,0.0007752866330205471
261,2.0,3068,1.0,107,54,71.0,3.091,14.0,3.0,0.0,5,m,0.001190480175228748
262,2.0,6966,1.0,147,68,67.0,2.909,18.0,6.0,0.0,5,m,0.0027030263691797452
263,2.0,8162,1.0,159,69,72.0,3.455,17.0,5.0,0.0,5,m,0.003167111861218071
264,2.0,4612,1.0,127,64,61.0,3.636,14.0,3.0,0.0,5,f,0.0017896005763217034
265,2.0,5210,1.0,119,62,67.5,4.0,15.0,3.0,0.0,5,f,0.0020216433223408663
266,3.0,1824,1.0,88,67,64.0,4.0,16.0,4.0,0.0,5,f,0.0007077691784932323
267,2.0,6754,1.0,139,63,66.5,4.0,14.0,3.0,0.0,5,f,0.0026207637234338214
268,2.0,2982,1.0,96,62,74.0,3.273,16.0,4.0,0.0,5,m,0.0011571094793129488
