,AGE,LANGUAGE,INCOME,RACE_1,MARITAL_STATUS,EDUCATION,EMPLOYMENT,LGBT_IDENTITY,ETHNICITY_1,GENDER,WORK_NIH_CAMPUS,RIG
281,8.090112419664289,5.9201874182219765,5.697794996885529,4.389672701523196,6.18322182405577,4.630680801026991,3.598259323334614,0.2827574976066844,3.5051499189431325,0.62454601485489,0.0,42.92238291611707
68,6.389672701523196,0.3435980985258252,5.697794996885529,4.389672701523196,3.8047102008020404,3.598259323334614,3.18322182405577,6.090112419664289,3.5051499189431325,1.5316917063956246,0.0,38.53388389165322
302,7.282757497606684,9.090112419664289,3.0901124196642886,4.389672701523196,6.18322182405577,3.598259323334614,3.598259323334614,0.2827574976066844,0.18322182405576998,0.62454601485489,0.0,38.32292084570081
577,6.090112419664289,7.768184324776926,2.5051499189431325,7.5051499189431325,0.9480053623617386,4.630680801026991,3.1475979143250488,0.2827574976066844,3.5051499189431325,0.62454601485489,0.9201874182219762,37.92752150966794
622,7.090112419664289,3.9002878607842715,5.697794996885529,2.7954916707726616,0.9480053623617386,3.598259323334614,3.1475979143250488,0.2827574976066844,7.090112419664289,1.5316917063956246,0.0,36.08211117179475
534,6.090112419664289,4.389672701523196,2.870943899202127,4.389672701523196,0.9480053623617386,4.630680801026991,3.8047102008020404,4.446256229889564,3.5051499189431325,0.62454601485489,0.0,35.699750249791165
715,9.090112419664289,10.090112419664289,2.870943899202127,0.5374433221500171,6.0026495784139495,1.1862305739281085,3.598259323334614,0.2827574976066844,0.18322182405576998,1.5316917063956246,0.0,35.37342256441548
786,4.768184324776926,5.9201874182219765,3.6977949968855284,4.389672701523196,1.4319009369124938,5.18322182405577,0.7020951343191539,3.940365300159607,3.5051499189431325,1.5316917063956246,0.0,35.07026426219341
46,5.33522491750082,7.768184324776926,3.6977949968855284,0.5374433221500171,1.4319009369124938,1.1862305739281085,3.18322182405577,0.2827574976066844,7.090112419664289,0.62454601485489,3.880659054035339,35.018075882370866
131,6.090112419664289,9.090112419664289,3.1359161092774133,4.389672701523196,1.4319009369124938,1.1862305739281085,0.7020951343191539,0.0,7.090112419664289,0.62454601485489,0.9201874182219762,34.6608861480301
526,6.768184324776926,10.090112419664289,2.63890130783196,3.308752706139629,1.4319009369124938,5.18322182405577,3.18322182405577,0.2827574976066844,0.18322182405576998,0.62454601485489,0.9201874182219762,34.61500809817616
