,AgeCog_W1,Sex,Race,Ethnicity,EduYrsEstCap,EduComp,HandednessScore,Height_W1
254,55,m,2,0.0,13.0,3.0,-999.0,72.0
255,76,f,5,0.0,18.0,6.0,3.818,65.5
256,54,f,2,0.0,15.0,3.0,4.0,67.0
257,65,m,2,0.0,14.0,3.0,3.0,70.0
258,60,f,5,0.0,15.0,3.0,3.364,65.0
259,63,m,5,0.0,16.0,4.0,3.727,72.0
260,51,m,5,0.0,16.0,4.0,4.0,69.0
261,54,m,5,0.0,14.0,3.0,3.091,71.0
262,68,m,5,0.0,18.0,6.0,2.909,67.0
263,69,m,5,0.0,17.0,5.0,3.455,72.0
264,64,f,5,0.0,14.0,3.0,3.636,61.0
265,62,f,5,0.0,15.0,3.0,4.0,67.5
266,67,f,5,0.0,16.0,4.0,4.0,64.0
267,63,f,5,0.0,14.0,3.0,4.0,66.5
268,62,m,5,0.0,16.0,4.0,3.273,74.0
269,63,f,5,0.0,16.0,4.0,3.727,69.0
270,62,f,5,0.0,16.0,4.0,4.0,66.0
271,62,m,5,0.0,15.0,3.0,3.636,70.0
272,51,f,5,0.0,13.0,3.0,4.0,65.0
273,70,m,5,0.0,15.0,3.0,2.818,73.0
274,71,f,5,0.0,12.0,2.0,4.0,65.0
275,72,f,5,0.0,13.0,3.0,3.818,64.0
276,53,m,5,0.0,16.0,4.0,3.273,72.0
277,64,f,5,0.0,16.0,4.0,4.0,66.0
278,71,f,5,0.0,12.0,2.0,3.455,64.0
279,62,f,6,1.0,13.0,3.0,3.455,63.0
280,74,f,2,0.0,16.0,4.0,4.0,64.0
281,61,f,5,0.0,16.0,4.0,4.0,67.0
282,70,m,5,0.0,16.0,4.0,3.182,72.0
283,75,f,5,0.0,12.0,3.0,3.273,63.0
284,78,m,5,0.0,15.0,3.0,3.273,68.0
285,51,f,5,0.0,16.0,4.0,4.0,67.0
286,74,f,5,0.0,16.5,5.0,3.636,66.0
287,61,f,5,0.0,13.0,3.0,3.818,64.0
288,57,f,2,0.0,15.0,3.0,2.909,66.0
289,66,f,5,0.0,12.0,2.0,4.0,62.0
290,59,m,2,0.0,16.0,4.0,3.636,74.0
291,87,m,5,0.0,16.0,4.0,3.636,61.0
