original_index,msu,suda,fK,fM,AgeCog_W1,Height_W1,HandednessScore,EduComp,Race,EduYrsEstCap,Sex,Ethnicity,dis-suda
122,2.0,5213,1.0,171,31,65.0,4.0,3.0,6,15.0,m,1.0,0.0020196219004491324
123,2.0,7399,1.0,144,38,68.0,3.727,3.0,5,15.0,m,0.0,0.0028665226244817053
124,2.0,3289,1.0,124,82,61.0,4.0,4.0,5,16.0,f,0.0,0.001274225288812046
125,2.0,6521,1.0,166,30,64.0,3.545,6.0,1,18.0,f,0.0,0.002526367621873929
126,2.0,4958,1.0,112,86,72.0,4.0,6.0,5,18.0,m,0.0,0.0019208297299878761
127,2.0,6309,1.0,158,83,67.0,3.909,2.0,5,12.0,f,0.0,0.002444234523294375
128,2.0,10403,1.0,195,31,65.0,2.636,7.0,6,21.0,m,1.0,0.0040303331345429355
129,2.0,5219,1.0,128,47,68.0,3.455,6.0,5,18.0,f,0.0,0.0020219464221070444
130,2.0,4461,1.0,135,57,69.0,4.0,5.0,5,18.0,f,0.0,0.0017282818526575061
131,2.0,5991,1.0,152,86,70.0,-999.0,3.0,5,14.0,m,0.0,0.0023210348754250437
132,2.0,3800,1.0,104,82,63.0,4.0,3.0,5,15.0,f,0.0,0.0014721970500108771
133,3.0,1620,1.0,88,24,71.0,3.364,4.0,5,16.0,f,0.0,0.0006276208476362161
134,2.0,9503,1.0,180,88,60.5,3.818,5.0,5,17.0,f,0.0,0.0036816548858561488
135,2.0,3501,1.0,132,75,63.0,3.636,5.0,5,16.0,f,0.0,0.0013563583873916004
136,2.0,3849,1.0,112,35,63.0,3.273,3.0,5,14.0,f,0.0,0.001491180643550491
137,2.0,5431,1.0,136,30,62.0,4.0,7.0,5,21.0,f,0.0,0.0021040795206865985
138,2.0,5681,1.0,148,36,76.0,4.0,5.0,5,18.0,m,0.0,0.0022009345897662613
139,2.0,2430,1.0,88,57,65.0,3.636,6.0,5,18.0,f,0.0,0.0009414312714543241
140,2.0,6203,1.0,132,34,66.0,3.818,4.0,5,16.0,f,0.0,0.002403167974004598
141,2.0,3993,1.0,142,83,69.0,3.727,7.0,5,21.0,m,0.0,0.001546969163340377
142,2.0,3289,1.0,124,33,70.0,3.455,6.0,5,18.0,m,0.0,0.001274225288812046
143,2.0,4958,1.0,112,66,72.0,3.636,4.0,5,16.0,m,0.0,0.0019208297299878761
144,2.0,2218,1.0,80,74,63.0,3.909,4.0,5,16.0,f,0.0,0.0008592981728747699
145,2.0,1957,1.0,64,64,62.0,4.0,3.0,5,14.0,f,0.0,0.0007581814807556018
146,2.0,13091,1.0,204,52,71.0,3.818,2.0,3,12.0,m,0.0,0.005071718837287472
147,2.0,1957,1.0,64,88,62.0,4.0,6.0,5,18.0,f,0.0,0.0007581814807556018
148,2.0,2218,1.0,80,56,63.0,4.0,3.0,5,15.0,f,0.0,0.0008592981728747699
149,2.0,3849,1.0,112,86,65.0,3.273,3.0,5,14.0,f,0.0,0.001491180643550491
150,2.0,2430,1.0,88,80,70.0,3.909,6.0,5,18.0,m,0.0,0.0009414312714543241
151,2.0,4447,1.0,132,82,64.0,3.545,3.0,5,13.0,f,0.0,0.001722857968789045
152,3.0,587,1.0,48,88,65.0,4.0,6.0,5,18.0,f,0.0,0.00022741570219904865
153,2.0,4273,1.0,128,81,63.0,4.0,3.0,5,13.5,f,0.0,0.0016554468407095995
154,2.0,15173,1.0,203,88,69.0,3.636,3.0,7,13.0,m,0.0,0.005878327852582905
155,2.0,4958,1.0,112,86,63.0,3.909,4.0,5,16.0,f,0.0,0.0019208297299878761
156,2.0,7959,1.0,160,84,74.0,3.727,5.0,5,18.0,m,0.0,0.0030834779792201505
157,2.0,3009,1.0,110,88,65.0,4.0,3.0,5,12.0,f,0.0,0.0011657476114428236
158,2.0,10275,1.0,176,35,64.0,3.091,5.0,5,17.0,f,0.0,0.003980743339174148
159,2.0,3588,1.0,96,81,74.0,3.273,4.0,5,16.0,m,0.0,0.001390063951431323
160,2.0,3637,1.0,132,54,66.0,3.091,6.0,5,18.0,f,0.0,0.001409047544970937
161,2.0,4235,1.0,124,51,71.0,4.0,4.0,2,16.0,m,0.0,0.0016407248702094907
162,2.0,4958,1.0,112,80,62.0,4.0,4.0,5,16.0,f,0.0,0.0019208297299878761
163,2.0,6279,1.0,156,33,70.0,3.818,6.0,1,18.0,m,0.0,0.0024326119150048153
164,2.0,1957,1.0,64,52,74.0,3.909,4.0,5,16.0,m,0.0,0.0007581814807556018
165,2.0,3289,1.0,124,72,64.0,3.909,6.0,5,18.0,f,0.0,0.001274225288812046
166,2.0,7959,1.0,160,75,61.0,4.0,2.0,5,12.0,f,0.0,0.0030834779792201505
167,3.0,1446,1.0,84,86,63.0,4.0,3.0,5,14.0,f,0.0,0.0005602097195567706
168,3.0,587,1.0,48,71,64.0,4.0,4.0,5,16.0,f,0.0,0.00022741570219904865
169,3.0,1060,1.0,72,57,62.0,4.0,6.0,5,18.0,f,0.0,0.000410665492897771
170,2.0,9701,1.0,185,75,65.5,3.818,3.0,2,12.0,f,0.0,0.003758364100567242
171,2.0,4591,1.0,134,34,64.0,4.0,7.0,5,21.0,f,0.0,0.0017786464885789308
172,2.0,11789,1.0,194,32,60.5,3.0,5.0,1,17.0,f,0.0,0.004567297637520587
173,2.0,6043,1.0,147,44,66.0,3.818,4.0,5,16.0,f,1.0,0.0023411807297936136
174,2.0,3729,1.0,139,65,65.0,3.909,5.0,5,17.0,f,0.0,0.0014446902103922529
175,2.0,5605,1.0,140,43,70.0,3.273,3.0,5,14.0,m,0.0,0.002171490648766044
176,2.0,9571,1.0,158,42,69.0,3.182,4.0,5,16.0,m,0.0,0.0037079994646458175
177,3.0,1446,1.0,84,53,70.0,3.727,4.0,5,16.0,m,0.0,0.0005602097195567706
178,2.0,4341,1.0,122,32,66.0,4.0,3.0,5,15.0,f,0.0,0.001681791419499268
179,2.0,13931,1.0,206,48,75.0,2.909,3.0,4,13.0,m,0.0,0.005397151869395139
180,2.0,5045,1.0,124,37,66.0,3.818,7.0,5,21.0,f,0.0,0.001954535294027599
181,2.0,8595,1.0,172,74,-999.0,4.0,2.0,7,12.0,f,-999.0,0.003329877274958813
182,2.0,6589,1.0,144,86,71.0,3.636,7.0,5,21.0,m,0.0,0.0025527122006635972
183,2.0,4621,1.0,136,33,62.0,3.909,7.0,5,21.0,f,0.0,0.0017902690968684904
184,2.0,5605,1.0,140,78,66.0,3.364,3.0,5,14.0,f,0.0,0.002171490648766044
185,2.0,9579,1.0,176,76,-999.0,3.818,2.0,7,12.0,f,-999.0,0.0037110988268563667
186,2.0,5605,1.0,140,70,71.0,3.545,7.0,5,21.0,m,0.0,0.002171490648766044
187,2.0,5219,1.0,128,67,69.0,3.273,3.0,5,14.0,m,0.0,0.0020219464221070444
188,2.0,3974,1.0,108,65,66.0,4.0,3.0,2,12.0,f,0.0,0.0015396081780903227
189,2.0,5276,1.0,118,79,71.0,4.0,4.0,5,16.0,m,0.0,0.0020440293778572075
190,1.0,16875,1.0,180,83,67.0,0.818,4.0,5,16.0,m,0.0,0.006537717162877251
191,2.0,5749,1.0,142,62,-999.0,4.0,3.0,5,13.5,f,0.0,0.0022272791685559296
192,2.0,3077,1.0,116,54,68.0,3.727,3.0,5,14.0,m,0.0,0.001192092190232492
193,2.0,5219,1.0,128,76,61.0,4.0,3.0,5,13.0,f,0.0,0.0020219464221070444
194,2.0,4061,1.0,120,81,63.0,3.818,4.0,5,16.0,f,0.0,0.0015733137421300454
195,2.0,2642,1.0,96,81,65.0,4.0,6.0,5,18.0,f,0.0,0.0010235643700338783
196,2.0,7149,1.0,160,76,71.0,4.0,5.0,5,17.0,m,0.0,0.0027696675554020425
197,2.0,3357,1.0,130,55,64.0,4.0,3.0,2,14.0,f,0.0,0.0013005698676017143
198,2.0,8133,1.0,164,72,71.0,3.273,2.0,5,12.0,m,0.0,0.003150889107299596
199,2.0,4091,1.0,122,68,76.0,4.0,3.0,5,14.0,m,0.0,0.001584936350419605
200,2.0,8133,1.0,164,62,65.5,3.727,3.0,5,14.0,f,0.0,0.003150889107299596
201,2.0,2767,1.0,112,73,64.0,3.636,3.0,5,12.0,f,0.0,0.0010719919045737098
202,2.0,7149,1.0,160,57,66.0,3.455,2.0,5,12.0,f,0.0,0.0027696675554020425
203,2.0,4447,1.0,132,68,70.0,3.273,4.0,5,16.0,m,0.0,0.001722857968789045
204,3.0,1745,1.0,104,61,64.0,4.0,5.0,5,17.0,f,0.0,0.0006760483821760476
205,2.0,4273,1.0,128,55,62.0,3.818,3.0,5,14.0,f,0.0,0.0016554468407095995
206,2.0,3289,1.0,124,60,72.0,3.636,3.0,5,14.0,m,0.0,0.001274225288812046
207,2.0,3115,1.0,120,69,62.0,3.636,3.0,5,15.0,f,0.0,0.0012068141607326007
208,2.0,3077,1.0,116,62,70.0,3.636,5.0,5,18.0,f,0.0,0.001192092190232492
209,2.0,4569,1.0,141,69,65.0,4.0,3.0,5,15.0,f,1.0,0.0017701232424999205
210,2.0,3077,1.0,116,62,64.0,3.273,3.0,5,15.0,f,0.0,0.001192092190232492
211,3.0,1272,1.0,80,71,65.0,3.636,6.0,5,18.0,f,0.0,0.0004927985914773253
212,2.0,2691,1.0,104,65,65.0,3.273,3.0,5,15.0,f,0.0,0.0010425479635734923
213,2.0,2990,1.0,104,69,66.0,4.0,4.0,5,16.0,f,0.0,0.0011583866261927693
214,2.0,2324,1.0,90,65,67.0,4.0,3.0,5,14.0,f,0.0,0.000900364722164547
215,2.0,2517,1.0,100,67,70.0,3.182,4.0,5,16.0,m,0.0,0.0009751368354940468
216,2.0,11645,1.0,192,89,63.0,3.636,1.0,5,11.0,f,0.0,0.004511509117730701
217,2.0,7187,1.0,164,73,72.0,3.818,3.0,5,15.0,m,0.0,0.002784389525902151
218,2.0,3588,1.0,96,77,62.0,3.727,3.0,5,14.0,f,0.0,0.001390063951431323
219,2.0,6116,1.0,120,58,64.0,4.0,4.0,5,16.0,f,0.0,0.002369462409964875
220,2.0,6203,1.0,160,59,73.0,4.0,3.0,2,14.0,m,0.0,0.002403167974004598
221,2.0,4061,1.0,120,58,65.0,3.455,3.0,5,14.0,f,0.0,0.0015733137421300454
222,3.0,1272,1.0,80,70,63.0,4.0,3.0,5,14.0,f,0.0,0.0004927985914773253
223,2.0,2430,1.0,88,67,72.0,3.909,4.0,5,16.0,m,0.0,0.0009414312714543241
224,2.0,5681,1.0,148,54,64.0,4.0,2.0,2,12.0,f,0.0,0.0022009345897662613
225,2.0,5219,1.0,128,75,64.0,3.727,3.0,5,15.0,f,0.0,0.0020219464221070444
226,2.0,5219,1.0,128,70,66.0,3.727,3.0,5,15.0,f,0.0,0.0020219464221070444
227,2.0,6589,1.0,144,77,61.0,4.0,3.0,5,14.5,f,0.0,0.0025527122006635972
228,2.0,6975,1.0,156,56,64.0,2.545,2.0,5,12.0,f,0.0,0.002702256427322597
229,1.0,16157,1.0,187,71,73.5,3.545,3.0,5,14.0,m,1.0,0.006259549404480458
230,2.0,8201,1.0,142,51,72.0,2.455,4.0,5,16.0,m,0.0,0.003177233686089264
231,2.0,4118,1.0,110,84,62.0,4.0,3.0,5,14.0,f,0.0,0.0015953966978802085
232,2.0,5643,1.0,144,60,70.0,4.0,3.0,5,13.0,m,0.0,0.0021862126192661526
233,2.0,4061,1.0,120,81,70.0,3.455,4.0,5,16.0,m,0.0,0.0015733137421300454
234,2.0,7293,1.0,162,80,65.0,3.727,2.0,5,12.0,f,0.0,0.0028254560751919283
235,2.0,3588,1.0,96,40,67.0,3.273,4.0,5,16.0,f,0.0,0.001390063951431323
236,3.0,1745,1.0,104,70,69.0,3.818,3.0,5,15.0,f,0.0,0.0006760483821760476
237,2.0,2286,1.0,86,61,63.0,4.0,3.0,5,14.0,f,0.0,0.0008856427516644382
238,2.0,3849,1.0,112,41,71.0,3.727,4.0,5,16.0,f,0.0,0.001491180643550491
239,1.0,14347,1.0,156,71,63.5,3.909,4.0,5,16.0,f,0.0,0.005558318704343698
240,2.0,9117,1.0,168,73,62.0,4.0,1.0,5,11.0,f,0.0,0.0035321106591971493
241,3.0,1745,1.0,104,72,68.0,4.0,3.0,5,13.0,m,0.0,0.0006760483821760476
242,2.0,5219,1.0,128,65,63.0,3.727,3.0,5,15.0,f,0.0,0.0020219464221070444
243,2.0,2759,1.0,110,65,69.0,3.636,3.0,5,14.0,m,0.0,0.0010688925423631606
244,2.0,2816,1.0,100,65,69.0,4.0,4.0,5,16.0,m,0.0,0.0010909754981133237
245,2.0,2748,1.0,94,62,63.0,3.909,4.0,5,16.0,f,0.0,0.0010646309193236554
246,2.0,2547,1.0,102,56,63.0,3.455,3.0,5,14.0,f,0.0,0.0009867594437836065
247,2.0,7959,1.0,160,69,70.5,3.545,4.0,5,16.0,m,0.0,0.0030834779792201505
248,2.0,5681,1.0,148,69,75.0,3.727,5.0,5,16.0,m,0.0,0.0022009345897662613
249,2.0,5276,1.0,118,53,66.0,4.0,3.0,2,12.0,f,0.0,0.0020440293778572075
250,3.0,1272,1.0,80,67,72.0,4.0,3.0,5,14.0,m,0.0,0.0004927985914773253
251,2.0,3974,1.0,108,52,67.0,4.0,4.0,5,16.0,f,0.0,0.0015396081780903227
252,2.0,4958,1.0,112,76,68.0,4.0,2.0,5,12.0,f,0.0,0.0019208297299878761
253,3.0,1060,1.0,72,69,62.0,3.727,3.0,5,14.0,f,0.0,0.000410665492897771
254,2.0,9329,1.0,192,55,72.0,-999.0,3.0,2,13.0,m,0.0,0.0036142437577767034
255,2.0,5923,1.0,146,76,65.5,3.818,6.0,5,18.0,f,0.0,0.0022946902966353754
256,2.0,3319,1.0,126,54,67.0,4.0,3.0,2,15.0,f,0.0,0.0012858478971016056
257,2.0,7535,1.0,172,65,70.0,3.0,3.0,2,14.0,m,0.0,0.002919211782061042
258,2.0,5219,1.0,128,60,65.0,3.364,3.0,5,15.0,f,0.0,0.0020219464221070444
259,3.0,1919,1.0,108,63,72.0,3.727,4.0,5,16.0,m,0.0,0.0007434595102554929
260,2.0,2006,1.0,72,51,69.0,4.0,4.0,5,16.0,m,0.0,0.0007771650742952157
261,2.0,3077,1.0,116,54,71.0,3.091,3.0,5,14.0,m,0.0,0.001192092190232492
262,2.0,6975,1.0,156,68,67.0,2.909,6.0,5,18.0,m,0.0,0.002702256427322597
263,2.0,8171,1.0,168,69,72.0,3.455,5.0,5,17.0,m,0.0,0.0031656110777997046
264,2.0,4621,1.0,136,64,61.0,3.636,3.0,5,14.0,f,0.0,0.0017902690968684904
265,2.0,5219,1.0,128,62,67.5,4.0,3.0,5,15.0,f,0.0,0.0020219464221070444
266,3.0,1832,1.0,96,67,64.0,4.0,4.0,5,16.0,f,0.0,0.0007097539462157703
267,2.0,6763,1.0,148,63,66.5,4.0,3.0,5,14.0,f,0.0,0.0026201233287430426
268,2.0,2990,1.0,104,62,74.0,3.273,4.0,5,16.0,m,0.0,0.0011583866261927693
269,2.0,2430,1.0,88,63,69.0,3.727,4.0,5,16.0,f,0.0,0.0009414312714543241
270,2.0,2430,1.0,88,62,66.0,4.0,4.0,5,16.0,f,0.0,0.0009414312714543241
271,3.0,2131,1.0,116,62,70.0,3.636,3.0,5,15.0,m,0.0,0.0008255926088350471
